Sample	Contig	Covered Fraction
aligned	ivig_1519	0
aligned	ivig_1521	0
aligned	ivig_1522	0
aligned	ivig_1525	0
aligned	ivig_1527	0
aligned	ivig_1528	0
aligned	ivig_1529	0
aligned	ivig_1533	0
aligned	ivig_1535	0.010303266
aligned	ivig_1536	0.15248814
aligned	ivig_1537	0
aligned	ivig_1538	0
aligned	ivig_1539	0
aligned	ivig_1541	0
aligned	ivig_1542	0
aligned	ivig_1543	0
aligned	ivig_1544	0
aligned	ivig_1545	0
aligned	ivig_1547	0
aligned	ivig_1548	0
aligned	ivig_1551	0
aligned	ivig_1557	0
aligned	ivig_1558	0.011964273
aligned	ivig_1560	0.053932633
aligned	ivig_1562	0
aligned	ivig_1563	0
aligned	ivig_1564	0.5732848
aligned	ivig_1565	0.10500268
aligned	ivig_1568	0.010258514
aligned	ivig_1569	0
aligned	ivig_1571	0.046146322
aligned	ivig_1574	0
aligned	ivig_1576	0
aligned	ivig_1577	0
aligned	ivig_1580	0
aligned	ivig_1582	0
aligned	ivig_1593	0
aligned	ivig_1594	0
aligned	ivig_1595	0
aligned	ivig_1597	0
aligned	ivig_1598	0
aligned	ivig_1599	0.019289546
aligned	ivig_1600	0
aligned	ivig_1601	0
aligned	ivig_1602	0
aligned	ivig_1603	0
aligned	ivig_1604	0
aligned	ivig_1605	0
aligned	ivig_1607	0
aligned	ivig_1611	0.16818203
aligned	ivig_1615	0.25497296
aligned	ivig_1617	0
aligned	ivig_1618	0
aligned	ivig_1629	0
aligned	ivig_1631	0
aligned	ivig_1634	0
aligned	ivig_1635	0
aligned	ivig_1636	0
aligned	ivig_1637	0
aligned	ivig_1639	0
aligned	ivig_1640	0
aligned	ivig_1641	0
aligned	ivig_1644	0
aligned	ivig_1646	0
aligned	ivig_1647	0
aligned	ivig_1648	0
aligned	ivig_1652	0
aligned	ivig_1653	0
aligned	ivig_1654	0
aligned	ivig_1655	0.07358087
aligned	ivig_1658	0
aligned	ivig_1660	0
aligned	ivig_1662	0.013613211
aligned	ivig_1663	0
aligned	ivig_1664	0
aligned	ivig_1665	0
aligned	ivig_1666	0
aligned	ivig_1670	0
aligned	ivig_1672	0
aligned	ivig_1673	0
aligned	ivig_1689	0
aligned	ivig_1691	0
aligned	ivig_1698	0
aligned	ivig_1700	0.018050397
aligned	ivig_1701	0
aligned	ivig_1704	0
aligned	ivig_1706	0
aligned	ivig_1707	0
aligned	ivig_1710	0
aligned	ivig_1712	0
aligned	ivig_1713	0
aligned	ivig_1715	0
aligned	ivig_1716	0
aligned	ivig_1717	0.016843138
aligned	ivig_1718	0
aligned	ivig_1722	0.06365305
aligned	ivig_1724	0.4166298
