Contig	F6_S22-untreated_virome_Genomad_mapped Mean	F6_S22-untreated_virome_Genomad_mapped Trimmed Mean	F6_S22-untreated_virome_Genomad_mapped Covered Bases	F6_S22-untreated_virome_Genomad_mapped Variance	F6_S22-untreated_virome_Genomad_mapped RPKM	F6_S22-untreated_virome_Genomad_mapped TPM	F7_S23-untreated_virome_Genomad_mapped Mean	F7_S23-untreated_virome_Genomad_mapped Trimmed Mean	F7_S23-untreated_virome_Genomad_mapped Covered Bases	F7_S23-untreated_virome_Genomad_mapped Variance	F7_S23-untreated_virome_Genomad_mapped RPKM	F7_S23-untreated_virome_Genomad_mapped TPM	F8_S24-untreated_virome_Genomad_mapped Mean	F8_S24-untreated_virome_Genomad_mapped Trimmed Mean	F8_S24-untreated_virome_Genomad_mapped Covered Bases	F8_S24-untreated_virome_Genomad_mapped Variance	F8_S24-untreated_virome_Genomad_mapped RPKM	F8_S24-untreated_virome_Genomad_mapped TPM
F7_S23_contig_14175	7.878092	7.535941	12561	18.470957	0.6293222	23.799332	8.838853	8.405156	12561	24.744053	0.6044054	22.879301	8.065104	7.701638	12540	20.239756	0.5743394	21.60831
F7_S23_contig_14304	3.8420677	3.527428	10487	11.420858	0.2687071	10.161801	4.465405	4.05188	10854	15.39329	0.27569014	10.43604	3.8290331	3.6544986	10765	7.1571064	0.24683695	9.286716
F7_S23_contig_14652	6.656608	6.560577	10622	9.404369	0.47195733	17.848196	7.3893237	7.209633	10622	12.019647	0.45150456	17.091362	7.2381587	7.207511	10526	9.671664	0.45667624	17.181475
F7_S23_contig_14992	15.918016	15.827533	38806	40.828213	1.1155251	42.18623	17.795094	17.58512	39036	43.930077	1.0924393	41.35347	18.518208	18.436424	38809	47.052204	1.1703875	44.033344
F7_S23_contig_15195	6.5272236	6.420002	11081	9.915528	0.47481066	17.956097	7.9937696	7.880329	11225	10.032921	0.495709	18.764692	6.970113	6.8437157	11225	8.874579	0.44997302	16.929287
F7_S23_contig_15250	66.85403	55.47779	35828	8909.093	4.6785293	176.92969	73.48318	60.511017	35897	11095.591	4.5130377	170.83762	74.54634	60.664375	35732	12494.447	4.7075667	177.11218
F7_S23_contig_15263	90.22262	81.56552	18446	23826.97	8.443282	319.3028	99.76634	89.51658	18446	32588.65	8.268668	313.00418	99.36287	89.33259	18446	30782.762	8.431178	317.2052
F7_S23_contig_15420	11816.791	12225.706	39193	15135039	826.5761	31258.941	12756.59	13195.601	39306	17669224	783.2661	29649.951	12700.167	13141.978	39208	17590378	802.1761	30180.18
F7_S23_contig_15429	78.631645	77.96722	40853	318.76797	5.498388	207.93465	86.76998	85.76404	40994	406.15155	5.3280063	201.68771	84.89898	84.21709	40843	381.19434	5.3629704	201.77045
F7_S23_contig_15533	9.144691	8.765309	12908	21.279505	0.63951015	24.184608	8.930552	8.307846	12916	25.870283	0.54596394	20.667046	8.631146	8.4237995	12913	14.176597	0.546494	20.56069
F7_S23_contig_15644	19.149921	18.457806	57160	68.93527	1.342694	50.777184	22.79072	21.884487	57160	98.00605	1.4010789	53.036808	21.7087	21.026096	57160	68.36292	1.3754939	51.750042
F7_S23_contig_15667	7.8215284	7.774839	10079	8.334129	0.5419488	20.495089	8.986794	8.785953	10146	14.61073	0.5502514	20.829357	7.734694	7.582685	10146	12.441662	0.4903121	18.44696
F7_S23_contig_15699	15.594515	14.284484	54337	97.537575	1.0921639	41.302784	18.266558	16.897394	54337	113.94718	1.1247417	42.57626	17.043608	15.460457	54323	126.99135	1.0779382	40.55513
F7_S23_contig_15766	52.778187	50.756252	53064	385.57938	3.6991456	139.89204	58.09272	56.11398	53073	387.4203	3.5746062	135.31404	59.60998	57.080997	53073	482.28806	3.77052	141.8578
F7_S23_contig_15769	14.603521	13.938313	10739	57.637703	1.0642648	40.247704	17.191872	16.388952	10829	69.706665	1.09949	41.620373	16.595373	16.021637	10829	60.488354	1.089505	40.990314
F7_S23_contig_15772	272.53857	269.49753	34030	2424.4663	19.070631	721.2012	320.70844	316.70108	34030	3209.8025	19.704763	745.9092	296.1442	292.29364	34030	2843.8752	18.713476	704.05493
F7_S23_contig_385|provirus_92538_121215	196.8375	110.57081	28678	198938.89	14.859011	561.92896	212.25424	121.72597	28678	223884.03	14.048141	531.7819	211.61584	121.218414	28678	222842.2	14.4330435	543.01276
F7_S23_contig_1069|provirus_23829_45034	342.35425	332.00064	21206	10460.2295	24.340399	920.4905	380.82547	367.39136	21206	14230.568	23.770044	899.79736	374.81183	362.76657	21206	12877.316	24.060709	905.23315
F7_S23_contig_2934|provirus_7145_48270	36.05403	35.928417	41124	439.85864	2.5393043	96.02984	40.426006	40.23845	41126	486.34875	2.504732	94.8148	40.2182	39.776382	41123	537.29016	2.5668626	96.5728
