Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP5_S30_contig_448	6.6094	6.5466075	3905	8.082449	0.40058577	2.2229488	5.9142327	5.8483777	3878	7.027702	0.3719868	1.840462	6.0732875	5.9902654	3916	7.615345	0.3926554	2.07986
GP5_S30_contig_479	92985.08	90859.26	976	5053838300	5445.147	30216.453	112751.875	110307.42	975	7336964600	6869.349	33987.156	117825.53	115122.72	1061	8075828000	7258.181	38445.91
GP5_S30_contig_522	27.380602	27.09522	20255	170.65659	1.6588843	9.205558	22.850237	22.200884	20255	124.63104	1.4406812	7.127989	25.73161	25.287815	20255	158.71469	1.634963	8.660251
GP5_S30_contig_605	10.382822	9.989911	17109	37.923363	0.62756854	3.482532	10.013939	9.682496	17269	30.486647	0.637495	3.1541035	11.369983	10.998651	17440	25.450062	0.7265643	3.848545
GP5_S30_contig_1082	6.6306067	6.4570656	16924	10.829083	0.40026343	2.2211602	4.4674745	4.317867	16057	8.751571	0.2827776	1.3990858	4.933583	4.81559	16628	7.064505	0.31185952	1.6518906
GP5_S30_contig_1133	90107.75	89126.31	12006	5095950300	5392.478	29924.176	117242.72	115553.48	12006	10512411000	7303.632	36135.832	106945.84	105653.85	12006	7877992400	6729.6113	35646.117
GP5_S30_contig_1243	17.993446	16.83223	9957	266.37866	1.0883491	6.039513	15.794976	14.935583	10074	173.87206	1.0058193	4.9764466	20.67385	19.187513	10215	319.77136	1.3213207	6.998913
GP5_S30_contig_1379	7.348264	7.1411858	19336	20.803625	0.44678414	2.4793158	6.6782384	6.515143	19577	14.333326	0.42062655	2.081114	6.703784	6.453843	19827	16.127964	0.42433798	2.247679
GP5_S30_contig_1597	42.55868	42.331852	33616	301.93228	2.5562818	14.185435	32.690685	32.711105	33674	168.85905	2.049194	10.138705	36.17147	36.25746	33695	179.9659	2.2887437	12.123267
GP5_S30_contig_1654	32.094624	30.231792	17171	695.64307	1.9250697	10.682678	24.752087	23.573708	17222	337.86084	1.5428687	7.6335826	30.675442	29.56009	17281	389.674	1.9306151	10.226286
GP5_S30_contig_1712	7098.628	5684.9043	12326	68034060	437.4447	2427.4868	5818.086	4664.7188	12326	45402996	373.82208	1849.5422	6600.966	5256.9736	12326	60784490	428.06284	2267.409
GP5_S30_contig_1715	11.205519	11.123361	21137	29.702457	0.6701241	3.718683	10.639454	10.439452	21056	36.10427	0.6631691	3.2811315	11.662115	11.544956	21243	22.35354	0.73366284	3.8861423
GP5_S30_contig_1741	8.58094	8.431027	27637	17.83383	0.51491165	2.8573704	7.590932	7.3340816	27526	18.20538	0.48011938	2.375465	8.368093	8.195656	27729	17.351969	0.5288243	2.801134
GP5_S30_contig_1792	43022.508	39701.74	1662	1694264400	2546.963	14133.718	55370.11	51597.957	1662	2576231000	3406.7627	16855.475	55010.723	51129.15	1667	2590036200	3423.4429	18133.658
GP5_S30_contig_1860	20.472574	19.530897	21048	149.50134	1.2337155	6.8461914	15.52356	15.002122	21052	75.46059	0.98181444	4.8576775	21.77109	20.991566	21097	147.42552	1.3803012	7.311325
GP5_S30_contig_1967	30.662838	28.093912	22083	905.5254	1.839211	10.206235	24.185472	22.175116	22173	517.1213	1.5075469	7.458821	26.722837	24.91756	22490	554.1791	1.6824428	8.911746
GP5_S30_contig_2061	273.21695	272.72052	4538	1347.8441	16.922405	93.90654	175.57794	173.65266	4538	881.2105	11.444186	56.621845	168.68869	168.58253	4538	648.21497	10.966161	58.086723
