Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_32178	7.826125	7.738111	13735	9.374108	9.784527	273.18158	7.4433656	7.3703218	13746	8.780976	10.780616	300.55164	6.283466	6.213025	13699	8.347003	9.25564	257.49283
M2_S26_contig_32478	7.473585	7.166483	10056	20.104727	9.276354	258.99365	7.177458	7.075353	10220	9.774344	10.32675	287.8982	6.8454814	6.5225067	10112	17.65871	10.036013	279.2026
M2_S26_contig_35756	17.788717	15.483491	15731	1009.2167	29.366966	819.9189	17.00308	15.119875	15731	666.16406	30.91676	861.92474	16.493935	14.596948	15731	579.0707	30.394865	845.5878
M2_S26_contig_35951	7.5940404	7.4266376	17411	14.248564	9.485662	264.83728	6.728879	6.625714	17379	10.37896	9.70492	270.56238	5.20835	5.087637	16763	9.455087	7.533785	209.59068
M2_S26_contig_36900	5.991535	5.818426	28428	11.221882	7.5708055	211.37518	4.567959	4.4967756	28672	5.453696	6.589391	183.70479	5.177308	5.1119385	28695	6.5950336	7.485853	208.25713
M2_S26_contig_36984	4.900902	4.6648345	11834	13.477572	6.4689445	180.61127	3.6439798	3.444021	11959	7.65827	5.3187857	148.28185	5.257321	4.8768725	12245	18.246658	7.742919	215.40875
M2_S26_contig_37298	5.794315	5.5585318	22117	18.001036	7.5186725	209.91954	5.510066	5.3335233	22069	13.511087	7.9759955	222.3619	4.908485	4.798974	22487	9.385871	7.1646504	199.32124
M2_S26_contig_37732	11.07547	10.944714	12751	18.23629	14.105751	393.82913	9.432743	9.320871	12751	12.270893	14.096414	392.99228	9.315768	9.168151	12730	13.683065	14.119649	392.8098
M2_S26_contig_38177	6.222808	6.017563	13315	14.431381	7.7819557	217.27036	5.945954	5.750272	13150	13.815961	8.552027	238.42097	4.925781	4.7798777	13240	7.35116	7.1308465	198.38083
M2_S26_contig_40636	5.136253	4.9563413	23405	8.249412	6.505289	181.62605	4.321173	4.20424	23199	6.7451587	6.243568	174.06361	4.198201	4.1552577	22943	4.8271036	6.0791564	169.12273
M2_S26_contig_41052	12.304146	12.234839	12644	18.720102	15.416387	430.42184	11.732032	11.650542	12644	15.52732	17.210295	479.80383	10.399792	10.23315	12644	16.919079	15.32649	426.3843
